27.06.2019 01:32:02 CEST,wir-sind-da-um-rechte-und-freiheiten-zu-retten,"Wir sind da, um Rechte und Freiheiten zu retten!",chris,0
30.06.2019 02:24:37 CEST,die-genozide-der-sogenannten-christdemokraten,Die Genozide der sogenannten „Christdemokraten“,chris,1
02.07.2019 16:33:30 CEST,multidimensionale-politik,Multidimensionale Politik,chris,2
05.07.2019 15:21:03 CEST,wann-ist-ein-staat-unabhaengig,Wann ist ein Staat unabhängig?,chris,3
08.07.2019 12:48:45 CEST,die-werbung,Die Werbung,ludwig+chris,4
11.07.2019 18:38:21 CEST,der-neue-ueberwachungsstaat-england,Der neue Überwachungsstaat England,chris,5
14.07.2019 23:55:14 CEST,die-zeitung-zur-erhaltung-rechter-menschen,Die „Zeitung zur Erhaltung Rechter Menschen“,chris,6
17.07.2019 12:28:03 CEST,wir-leben-im-mittelalter,Wir leben im Mittelalter,chris,7
20.07.2019 21:45:19 CEST,die-endstufe-des-kapitalismus-die-musikindustrie,Die Endstufe des Kapitalismus - die Musikindustrie,chris,8
28.07.2019 19:33:05 CEST,der-stand-der-welt,Der Stand der Welt,chris,10
01.08.2019 20:34:50 CEST,mein-problem-mit-feminismus,Das Problem des Feminismus,chris,11
05.08.2019 00:43:44 CEST,was-haben-wir-aus-tausenden-jahren-politik-gelernt,Was haben wir aus tausenden Jahren Politik gelernt?,chris,12
09.08.2019 01:27:06 CEST,der-gefaehrlichste-politiker-deutschlands,Der gefährlichste Politiker Deutschlands,chris,13
12.08.2019 18:50:17 CEST,wenn-rezos-cduzerstoerung-ueberall-gezeigt-wird-haben-wir-ein-problem,"Wenn Rezos CDU-Zerstörung überall gezeigt wird, haben wir ein Problem",chris,14
18.08.2019 17:01:18 CEST,klimaschutz-ist-konservativ-aber-das-ist-egal,"Klimaschutz ist konservativ, aber das ist egal.",chris,15
23.08.2019 16:34:53 CEST,warum-ich-nicht-gruen-waehle,Die Grünen – auch nur mittelmäßig,chris,16
02.09.2019 19:16:59 CEST,deutschland-und-die-eu-liefern-den-brandbeschleuniger,Deutschland und die EU liefern den Brandbeschleuniger,chris,17
17.09.2019 00:02:14 CEST,die-zukunft-kommt-von-linksaussen,Die Zukunft kommt von Linksaußen,chris,18
14.11.2019 23:21:10 CET,eine-analyse-der-auswirkungen-einer-cannabislegalisierung,Eine Analyse der Auswirkungen einer Cannabislegalisierung,chris,19
30.12.2019 00:21:44 CET,die-klarnamenpflicht,Die Klarnamenpflicht,chris,20
31.12.2019 12:06:15 CET,dieses-jahrzehnt-wird-entscheidend,Dieses Jahrzehnt wird entscheidend,chris,21
02.06.2020 19:06:25 CEST,kommt-jetzt-die-revolution,Kommt jetzt die Revolution?,chris,22
07.07.2020 17:51:22 CEST,wenn-der-buergerkrieg-die-einzige-loesung-ist,Wenn der Bürgerkrieg die einzige Lösung ist,chris,23
31.08.2020 01:53:57 CEST,unsere-antwort-auf-die-zerstoerung-der-presse-rezo,Unsere Antwort auf „Die Zerstörung der Presse“ (Rezo),chris,24
17.10.2020 23:35:58 CEST,es-ist-egal,Es ist egal.,chris,25
31.12.2020 20:15:00 CET,die-zerm-in-quarantane,Die ZERM in Quarantäne,chris,26
06.07.2021 23:36:36 CEST,die-erneuerung-der-zerm,"Die Erneuerung der ZERM",chris,27
14.04.2022 11:17:38 CEST,armer-autor-guter-autor,"Armer Künstler, Guter Künstler?",chris,28
